symbol,entrez,BRO-score (product),BRO-score (ABA6-2013),BRO-score (Kang-2011),cell-cell signaling,synaptic transmission,neuron differentiation,neuron projection development,generation of neurons,axon development,neuron development
ANP32A,8125,0.0336741,0.259827,0.129602,,,,,,,
AP1G2,8906,0.0336488,0.322118,0.104461,,,,,,,
NONO,4841,0.0336461,0.261667,0.128584,,,,,,,
KHDRBS1,10657,0.0336458,0.268445,0.125336,,,,,,,
ADD2,119,0.0336375,0.370244,0.0908525,,,,,,,
MAFG,4097,0.0336353,0.308274,0.109109,,,,,,,
ABHD5,51099,0.0336272,0.156515,0.214849,,,,,,,
TOP3A,7156,0.0336121,0.163123,0.206053,,,,,,,
GOLGA8A,23015,0.0336111,0.27043,0.124288,,,,,,,
C20orf112,140688,0.0336035,0.346761,0.0969069,,,,,,,
PRELID2,153768,0.0335952,0.353596,0.0950102,,,,,,,
PECAM1,5175,0.0335934,0.338373,0.0992792,,,,,,,
PTRH2,51651,0.0335857,0.408828,0.0821511,,,,,,,
FKBP7,51661,0.0335801,0.200349,0.167608,,,,,,,
PIK3C2A,5286,0.0335742,0.148653,0.225857,,,,,,,
RLBP1,6017,0.0335539,0.328707,0.102078,,,,,,,
UBXN7,26043,0.0335077,0.173903,0.192681,,,,,,,
CNP,1267,0.0334926,0.195966,0.17091,X,X,X,X,X,X,X
SMG1,23049,0.0334914,0.187974,0.178171,,,,,,,
SPOCK1,6695,0.0334595,0.137575,0.24321,,,X,X,X,,X
GPT2,84706,0.0334508,0.213362,0.15678,,,,,,,
FBXL7,23194,0.0334488,0.194113,0.172316,,,,,,,
ZNF45,7596,0.0334454,0.173399,0.192881,,,,,,,
RAB35,11021,0.0334192,0.35613,0.0938398,,,X,X,X,,X
TRPV1,7442,0.0334158,0.173818,0.192246,,,,,,,
FAM162A,26355,0.0334022,0.291419,0.114619,,,,,,,
DNAJC15,29103,0.033399,0.250024,0.133583,,,,,,,
AGAP1,116987,0.0333835,0.169811,0.196592,,,,,,,
ZNF277,11179,0.0333622,0.244607,0.136391,,,,,,,
TRRAP,8295,0.0333582,0.169517,0.196783,,,,,,,
SHISA5,51246,0.0333393,0.238835,0.139591,,,,,,,
THAP2,83591,0.0333356,0.249625,0.133543,,,,,,,
ABCA7,10347,0.0333237,0.205674,0.162022,,,,,,,
DNAH5,1767,0.0333234,0.250062,0.133261,,,,,,,
RARS2,57038,0.0333154,0.209731,0.158848,,,,,,,
ST7L,54879,0.0332996,0.274074,0.121499,,,,,,,
ZMIZ2,83637,0.0332954,0.271196,0.122773,,,,,,,
HSP90AA1,3320,0.0332796,0.248109,0.134133,,,X,X,X,X,X
LYSMD3,116068,0.0332559,0.287691,0.115596,,,,,,,
RASA1,5921,0.0332225,0.118723,0.279832,,,,,,,
RCSD1,92241,0.0332117,0.346834,0.0957568,,,,,,,
MED12L,116931,0.0332068,0.138433,0.239877,,,,,,,
LEPR,3953,0.0332012,0.245903,0.135018,,,,,,,
AGPAT9,84803,0.033187,0.203903,0.162759,,,,,,,
C1orf52,148423,0.0331868,0.23856,0.139113,,,,,,,
SOX8,30812,0.0331815,0.256296,0.129466,X,,X,,X,,
BCL2L2,599,0.0331768,0.149398,0.222069,,,,,,,
ADRA2A,150,0.0331732,0.167071,0.198558,X,,,,,,
QDPR,5860,0.0331292,0.230632,0.143646,,,,,,,
SPEN,23013,0.0331246,0.182863,0.181145,,,,,X,,
P2RX5,5026,0.0331077,0.168058,0.197002,,,,,,,
SCAND2,54581,0.0331061,0.24922,0.132839,,,,,,,
KANSL1,284058,0.0330976,0.266157,0.124354,,,,,,,
WNT11,7481,0.0330824,0.351056,0.0942369,X,,X,,X,,
PPIC,5480,0.0330803,0.26249,0.126025,,,,,,,
CHRNA7,1139,0.033076,0.456262,0.0724935,X,X,,,,,
MGC39372,221756,0.0330694,0.192398,0.17188,,,,,,,
EDEM1,9695,0.033059,0.153632,0.215183,,,,,,,
PCGF5,84333,0.0330524,0.203168,0.162685,,,,,,,
TAGLN3,29114,0.0330457,0.214372,0.154151,,,,,,,
VPRBP,9730,0.0330457,0.205522,0.160789,,,,,,,
KLHL22,84861,0.033045,0.138077,0.239323,,,,,,,
CYFIP1,23191,0.0330448,0.157995,0.209151,,,X,X,X,X,X
GIN1,54826,0.0330376,0.176999,0.186654,,,,,,,
AFAP1,60312,0.0330152,0.147676,0.223565,,,,,,,
DNAH11,8701,0.0329683,0.180307,0.182846,,,,,,,
ZMYM5,9205,0.0329683,0.223573,0.147461,,,,,,,
RCAN1,1827,0.0329642,0.253416,0.130079,,,,,,,
GHITM,27069,0.0329341,0.25777,0.127765,,,,,,,
HHAT,55733,0.032921,0.354943,0.0927501,,,,,,,
APLF,200558,0.0329189,0.198894,0.16551,,,,,,,
CXorf1,9142,0.0329084,0.375515,0.0876354,,,,,,,
FSIP1,161835,0.0328833,0.29808,0.110317,,,,,,,
TAF5,6877,0.0328751,0.148749,0.22101,,,,,,,
TMEM144,55314,0.0328728,0.220187,0.149295,,,,,,,
ACTN4,81,0.0328718,0.131078,0.250781,,,,,,,
LRP12,29967,0.0328427,0.127056,0.25849,,,,,,,
DUSP12,11266,0.0328305,0.287261,0.114288,,,,,,,
ALG2,85365,0.0327991,0.247023,0.132777,,,,,,,
PDE4A,5141,0.032783,0.17033,0.192468,,,,,,,
SMARCB1,6598,0.0327807,0.253214,0.129458,,,,,,,
IFIH1,64135,0.0327237,0.310975,0.10523,,,,,,,
RASSF3,283349,0.0327041,0.113304,0.288639,,,,,,,
TSPYL1,7259,0.0326986,0.162403,0.201342,,,,,,,
HIBADH,11112,0.0326941,0.198764,0.164488,,,,,,,
SCARA3,51435,0.0326827,0.23928,0.136588,,,,,,,
MRAP2,112609,0.0326712,0.152293,0.214529,,,,,,,
PPP1R42,286187,0.0326689,0.305042,0.107096,,,,,,,
RBFOX2,23543,0.0326442,0.156084,0.209145,,,X,X,X,,X
BMP8B,656,0.0326418,0.481142,0.0678424,,,,,,,
KLRG1,10219,0.0326292,0.296861,0.109914,,,,,,,
SULT1C4,27233,0.0326202,0.200509,0.162687,,,,,,,
C15orf39,56905,0.0326112,0.334195,0.0975813,,,,,,,
DOK4,55715,0.0325977,0.251897,0.129409,,,,,,,
AIG1,51390,0.0325939,0.188177,0.173209,,,,,,,
ASTN2,23245,0.0325724,0.10504,0.310095,,,,,,,
TIGD5,84948,0.0325705,0.161455,0.201732,,,,,,,
KCNN2,3781,0.0325687,0.126719,0.257016,X,X,,,,,
SCG5,6447,0.0325675,0.209193,0.155682,X,,,,,,
MOG,4340,0.0325588,0.171615,0.18972,,,,,,,
MATN2,4147,0.0325396,0.118068,0.275601,,,X,X,X,X,X
DCP2,167227,0.0325343,0.192682,0.168849,,,,,,,
RBM4,5936,0.0325305,0.285209,0.114058,X,,,,,,
MPND,84954,0.0325295,0.27388,0.118773,,,,,,,
TMEM120A,83862,0.032522,0.238302,0.136474,,,,,,,
HCN2,610,0.0325209,0.224075,0.145134,X,X,,,,,
MAL,4118,0.0325072,0.216287,0.150297,,,,,,,
PRSS12,8492,0.0325,0.196167,0.165676,,,,,,,
CHODL,140578,0.0324863,0.166922,0.19462,,,,,,,
C5orf4,10826,0.0324769,0.207946,0.156179,,,,,,,
KCNH8,131096,0.0324699,0.141423,0.229595,X,X,,,,,
PRDX6,9588,0.0324296,0.329494,0.0984226,,,,,,,
ZCCHC11,23318,0.0324141,0.196791,0.164713,,,,,,,
PITPNB,23760,0.0324076,0.138272,0.234376,,,,,,,
SYT14,255928,0.0324021,0.28648,0.113104,,,,,,,
ZDHHC21,340481,0.0324011,0.235641,0.137502,,,,,,,
SNHG7,84973,0.0323873,0.328741,0.0985191,,,,,,,
TFAP2E,339488,0.0323848,0.298074,0.108647,,,,,,,
MECR,51102,0.0323787,0.246784,0.131202,,,,,,,
NDUFB1,4707,0.0323352,0.266318,0.121416,,,,,,,
CDK6,1021,0.0323121,0.249007,0.129764,,,,,X,,
GALNTL4,374378,0.03229,0.135369,0.238532,,,,,,,
ZNF662,389114,0.0322334,0.273535,0.11784,,,,,,,
TRNAU1AP,54952,0.0322223,0.198385,0.162423,,,,,,,
ZNF620,253639,0.0322162,0.250187,0.128769,,,,,,,
CDAN1,146059,0.0322127,0.181527,0.177454,,,,,,,
SLC25A48,153328,0.0321962,0.241004,0.133592,,,,,,,
TEX26,122046,0.0321931,0.323594,0.0994858,,,,,,,
CD82,3732,0.0321773,0.146979,0.218924,,,,,,,
KLHDC5,57542,0.0321768,0.268922,0.119651,,,,,,,
GRAMD1C,54762,0.0321749,0.1919,0.167665,,,,,,,
LAMP2,3920,0.0321731,0.215443,0.149334,,,,,,,
FANCG,2189,0.0321702,0.288295,0.111588,,,,,,,
GNAS,2778,0.0321683,0.196314,0.163861,X,,,,,,
DBNDD1,79007,0.03216,0.11587,0.277553,,,,,,,
UBXN8,7993,0.0321153,0.28557,0.11246,,,,,,,
CALHM1,255022,0.0320893,0.172947,0.185544,,,,,,,
SLC39A4,55630,0.0320878,0.396247,0.0809793,,,,,,,
DOCK8,81704,0.032064,0.13839,0.231693,,,,,,,
C1QL1,10882,0.0320596,0.297884,0.107625,,,,,,,
PLB1,151056,0.0320321,0.25306,0.126579,,,,,,,
FLOT2,2319,0.032026,0.161169,0.19871,,,,,,,
DIO3OS,64150,0.0320088,0.360374,0.0888211,,,,,,,
ZNF562,54811,0.0320034,0.208068,0.153812,,,,,,,
PTPRU,10076,0.0319871,0.153233,0.208748,,,,,,,
DPP4,1803,0.0319829,0.219656,0.145605,,,,,,,
PTTG1IP,754,0.0319747,0.233361,0.137018,,,,,,,
CD200,4345,0.0319477,0.20752,0.15395,,,,,,,
RASA3,22821,0.0319385,0.161421,0.197858,,,,,,,
PPM1H,57460,0.0319365,0.183247,0.174281,,,,,,,
MAMSTR,284358,0.0319117,0.121129,0.263453,,,,,,,
GAL,51083,0.031894,0.149816,0.212887,X,,,,,,
PLD3,23646,0.0318806,0.211687,0.150603,,,,,,,
HIST2H2AB,317772,0.0318488,0.198308,0.160603,,,,,,,
NDST2,8509,0.0318198,0.16392,0.194118,,,,,,,
PUM2,23369,0.0318094,0.175795,0.180945,,,,,,,
PJA2,9867,0.0318059,0.241791,0.131542,,,,,,,
UCK1,83549,0.0318017,0.194342,0.163638,,,,,,,
TRABD,80305,0.0317896,0.350765,0.0906293,,,,,,,
KLRC3,3823,0.0317804,0.285053,0.111489,,,,,,,
NBLA00301,79804,0.031762,0.213619,0.148685,,,,,,,
ATP5S,27109,0.0317478,0.316775,0.100222,,,,,,,
STAG2,10735,0.0317287,0.165212,0.192049,,,,,,,
FBXO40,51725,0.0317083,0.276922,0.114503,,,,,,,
KRR1,11103,0.031699,0.359845,0.0880906,,,,,,,
WBSCR17,64409,0.0316904,0.211621,0.149751,,,,,,,
DHX29,54505,0.0316848,0.165621,0.19131,,,,,,,
INIP,58493,0.0316606,0.254088,0.124605,,,,,,,
L1TD1,54596,0.031648,0.46351,0.0682789,,,,,,,
RANBP17,64901,0.0316211,0.102078,0.309773,,,,,,,
ARID3B,10620,0.0316168,0.278551,0.113504,,,,,,,
CD81,975,0.0316139,0.199472,0.158488,,,,,,,
ZNF282,8427,0.031604,0.162112,0.194952,,,,,,,
C4orf3,401152,0.031582,0.297156,0.106281,,,,,,,
ABHD8,79575,0.031582,0.226521,0.139422,,,,,,,
TTC31,64427,0.0315684,0.19121,0.165098,,,,,,,
GDPD2,54857,0.0315662,0.154243,0.204653,,,,,,,
SIAH3,283514,0.0315614,0.118766,0.265744,,,,,,,
CCNF,899,0.0315445,0.141521,0.222897,,,,,,,
SLC37A1,54020,0.0315433,0.128321,0.245815,,,,,,,
GRHL2,79977,0.0315125,0.516321,0.0610328,,,,,,,
TUBB2A,7280,0.0315067,0.319859,0.0985017,,,,,,,
MBTPS2,51360,0.0314811,0.140842,0.22352,,,,,,,
ENTPD1,953,0.0314692,0.150081,0.209681,,,,,,,
CRTC1,23373,0.0314331,0.166136,0.189201,,,,,,,
HERC1,8925,0.0314319,0.195498,0.160779,,,X,X,X,,X
FXC1,26515,0.0313979,0.297412,0.10557,,,,,,,
PAWR,5074,0.0313963,0.159854,0.196407,,,,,,,
RP2,6102,0.0313847,0.203184,0.154465,,,,,,,
TRAF3,7187,0.0313744,0.23136,0.135609,,,,,,,
ANO1,55107,0.0313679,0.150181,0.208867,,,,,,,
SPRYD3,84926,0.0313628,0.196047,0.159976,,,,,,,
CAPN2,824,0.0313575,0.168176,0.186457,,,,,,,
SLC33A1,9197,0.0313564,0.164961,0.190084,,,,,,,
ZDHHC13,54503,0.0313495,0.168868,0.185644,,,,,,,
LGMN,5641,0.0313363,0.103816,0.301846,,,,,,,
NFATC3,4775,0.0313347,0.224743,0.139425,,,,,,,
GNAQ,2776,0.0313344,0.15273,0.205162,,,X,,X,,X
ACSL4,2182,0.0313209,0.20963,0.14941,,,X,X,X,,X
PPP2R5B,5526,0.0312498,0.134233,0.232802,,,X,X,X,,X
NAALAD2,10003,0.0312419,0.385365,0.081071,X,X,,,,,
OLFM3,118427,0.0312409,0.132724,0.235383,,,X,,X,,X
IQGAP1,8826,0.0312368,0.190832,0.163688,X,,,,,,
CREM,1390,0.0312305,0.291628,0.10709,,,,,,,
SPTLC3,55304,0.0312273,0.111709,0.27954,,,,,,,
CDC42,998,0.0312245,0.233667,0.133628,X,X,X,X,X,X,X
RFX3,5991,0.0312225,0.232575,0.134247,X,,,,,,
SNCB,6620,0.0312193,0.142548,0.21901,X,X,,,,,
ENPP2,5168,0.0312157,0.236425,0.132032,,,,,,,
LDOC1,23641,0.0311787,0.27023,0.115379,,,,,,,
LGALS8,3964,0.0311773,0.362125,0.0860956,,,,,,,
NSMAF,8439,0.0311678,0.243136,0.128191,,,,,,,
SSSCA1,10534,0.0311623,0.204669,0.152257,,,,,,,
PGM2,55276,0.0311396,0.26312,0.118347,,,,,,,
TMBIM1,64114,0.0311301,0.209773,0.148399,,,,,,,
EGF,1950,0.031126,0.176264,0.176587,,,,,,,
RABIF,5877,0.0310977,0.266805,0.116556,,,,,,,
UBE2L3,7332,0.0310568,0.291175,0.10666,,,,,,,
NQO1,1728,0.0310499,0.240666,0.129017,X,X,,,,,
RLIM,51132,0.0310233,0.268375,0.115597,,,,,,,
PRSS23,11098,0.0310143,0.326354,0.0950328,,,,,,,
EPCAM,4072,0.0310002,0.215499,0.143853,,,,,,,
SGCZ,137868,0.0309963,0.130299,0.237887,,,,,,,
DENND1C,79958,0.0309913,0.253283,0.122358,,,,,,,
MAP2K1,5604,0.0309672,0.14713,0.210475,,,X,X,X,X,X
ORAI3,93129,0.0309645,0.189405,0.163483,,,,,,,
FGF1,2246,0.0309579,0.261785,0.118257,X,,,,,,
PDE11A,50940,0.0309404,0.363873,0.0850308,,,,,,,
ANTXR2,118429,0.0309388,0.218112,0.141848,,,,,,,
P2RX7,5027,0.0309364,0.170553,0.181388,X,X,,,,,
MAPKAPK2,9261,0.0309293,0.151024,0.204797,,,,,,,
MOV10,4343,0.0309169,0.133434,0.231703,,,,,,,
MMAB,326625,0.0309118,0.250463,0.123419,,,,,,,
COL11A1,1301,0.0309107,0.395501,0.0781557,,,,,,,
ATP6V1E2,90423,0.0309019,0.338114,0.091395,,,,,,,
KIF20B,9585,0.0309012,0.122988,0.251255,,,,,X,,
SYNGR1,9145,0.0308993,0.165763,0.186407,X,X,,,,,
PHF8,23133,0.0308685,0.152404,0.202544,,,,,,,
ATIC,471,0.0308632,0.162707,0.189686,,,,,,,
KLF13,51621,0.0308518,0.252805,0.122038,,,,,,,
CRTAP,10491,0.0307899,0.284392,0.108266,,,,,,,
TEP1,7011,0.0307739,0.21102,0.145834,,,,,,,
IL17RE,132014,0.030754,0.142368,0.216017,,,,,,,
ZNF550,162972,0.030749,0.191272,0.160761,,,,,,,
PTTG1,9232,0.0307442,0.321335,0.0956765,,,,,,,
DNAJB4,11080,0.0307396,0.278315,0.110449,,,,,,,
WDR52,55779,0.0307345,0.225662,0.136197,,,,,,,
RRM1,6240,0.0307318,0.131694,0.233358,,,,,,,
DRD3,1814,0.0307298,0.150381,0.204347,X,X,,,X,,
PARD6A,50855,0.0307267,0.281908,0.108995,,,,,,,
ACADSB,36,0.0307245,0.28972,0.106049,,,,,,,
SMAP1,60682,0.0306846,0.207304,0.148017,,,,,,,
CCDC170,80129,0.0306825,0.164117,0.186956,,,,,,,
TRIM55,84675,0.0306685,0.339808,0.0902522,,,,,,,
LMF1,64788,0.0306612,0.109745,0.279386,,,,,,,
ZFP36L2,678,0.0306583,0.227981,0.134477,,,,,,,
DNAJC10,54431,0.0306578,0.211284,0.145102,,,,,,,
UPP2,151531,0.0306474,0.271975,0.112685,,,,,,,
PLCD4,84812,0.0306344,0.192869,0.158835,,,,,,,
PYCARD,29108,0.0306303,0.28837,0.106219,,,,,,,
CAT,847,0.0306258,0.216559,0.14142,,,,,,,
RASSF8,11228,0.0306228,0.176938,0.173071,,,,,,,
SYNDIG1,79953,0.0306211,0.103006,0.297276,X,X,,,,,
ZNF573,126231,0.0306017,0.207225,0.147674,,,,,,,
AGBL5,60509,0.0305858,0.322355,0.0948823,,,,,,,
BDKRB2,624,0.0305583,0.291659,0.104774,,,,,,,
NEMF,9147,0.0305224,0.285589,0.106875,,,,,,,
H1F0,3005,0.0305156,0.180897,0.16869,,,,,,,
SLMAP,7871,0.0304902,0.166903,0.182682,,,,,,,
EXOSC7,23016,0.0304776,0.168859,0.180491,,,,,,,
FAM210B,116151,0.0304709,0.217771,0.139922,,,,,,,
GBP4,115361,0.0304703,0.386847,0.0787659,,,,,,,
CCDC90B,60492,0.0304686,0.296945,0.102607,,,,,,,
PDZD11,51248,0.0304262,0.415604,0.0732096,,,,,,,
KIRREL2,84063,0.0304134,0.498104,0.0610583,,,,,,,
GABRA1,2554,0.0303966,0.124091,0.244954,X,X,,,,,
KCNJ13,3769,0.0303935,0.222889,0.136362,,,,,,,
NMNAT3,349565,0.0303723,0.228546,0.132894,,,,,,,
LRIG3,121227,0.0303653,0.193328,0.157066,,,,,,,
ARHGAP36,158763,0.0303573,0.159887,0.189867,,,,,,,
CIRBP,1153,0.0303432,0.290998,0.104273,,,,,,,
MSI2,124540,0.030342,0.288379,0.105216,,,,,,,
PNOC,5368,0.0303409,0.380699,0.0796979,X,X,,,,,
ZADH2,284273,0.0303076,0.220326,0.137558,,,,,,,
ZNF844,284391,0.0302924,0.221957,0.136479,,,,,,,
SH3PXD2A,9644,0.0302791,0.130616,0.231817,,,,,,,
C16orf48,84080,0.0302752,0.272038,0.11129,,,,,,,
SYNPR,132204,0.0302648,0.180895,0.167306,,,,,,,
MMD2,221938,0.0302572,0.201432,0.15021,,,,,,,
MCF2L2,23101,0.0302559,0.155252,0.194882,,,,,,,
RBPMS2,348093,0.0302488,0.149256,0.202664,,,,,,,
FLJ37201,283011,0.0302474,0.232897,0.129875,,,,,,,
DDX5,1655,0.0302424,0.179016,0.168937,,,,,,,
SP100,6672,0.0302327,0.140125,0.215756,,,,,,,
ATP8A2,51761,0.0302247,0.121095,0.249595,,,X,X,X,X,X
RNF168,165918,0.0302038,0.143352,0.210698,,,,,,,
RPP40,10799,0.030202,0.382278,0.0790053,,,,,,,
EGFL6,25975,0.0301878,0.233467,0.129302,,,,,,,
TOMM70A,9868,0.0301876,0.171567,0.175952,,,,,,,
BACE1,23621,0.0301868,0.244573,0.123426,,,,,,,
TAF10,6881,0.0301835,0.352026,0.0857423,,,,,,,
CTNNBIP1,56998,0.0301684,0.221193,0.13639,,,,,,,
PSMB2,5690,0.0301585,0.299702,0.100628,,,,,,,
CYP19A1,1588,0.0301427,0.0977117,0.308487,X,X,,,,,
INA,9118,0.0301387,0.171656,0.175576,,,,,,,
MLF1,4291,0.0301378,0.246108,0.122457,,,,,,,
MLL4,9757,0.0301148,0.198229,0.151919,,,,,,,
SPATA13,221178,0.030108,0.15781,0.190786,,,,,,,
SLC44A1,23446,0.0301045,0.173993,0.173021,,,,,,,
CREB3L4,148327,0.0300984,0.351604,0.0856033,,,,,,,
HEG1,57493,0.0300955,0.232963,0.129186,,,,,,,
MFGE8,4240,0.030087,0.164231,0.1832,,,,,,,
IQCG,84223,0.0300819,0.188107,0.159919,,,,,,,
LYRM5,144363,0.0300726,0.220554,0.13635,,,,,,,
TSEN54,283989,0.0300619,0.330925,0.0908421,,,,,,,
MCM5,4174,0.0300596,0.159908,0.187981,,,,,,,
EYA2,2139,0.0300584,0.211386,0.142197,,,,,,,
ZNF660,285349,0.0300445,0.253088,0.118712,,,,,,,
FYCO1,79443,0.0300341,0.243177,0.123507,,,,,,,
ACADL,33,0.0300333,0.287596,0.104429,,,,,,,
PNPLA3,80339,0.0300142,0.277557,0.108137,,,,,,,
ZNF160,90338,0.0300138,0.172982,0.173508,,,,,,,
METTL10,399818,0.0300076,0.172013,0.17445,,,,,,,
SARM1,23098,0.0299928,0.310259,0.0966702,,,X,X,X,,X
TMEM62,80021,0.0299775,0.152326,0.196799,,,,,,,
LFNG,3955,0.0299663,0.138951,0.215661,,,,,,,
BAI3,577,0.0299656,0.143949,0.208167,,,,,,,
TRAM2,9697,0.0299547,0.0951126,0.314939,,,,,,,
MNF1,84300,0.0299386,0.344366,0.0869383,,,,,,,
KBTBD11,9920,0.0299344,0.322588,0.0927948,,,,,,,
PIM1,5292,0.029934,0.184121,0.162578,,,,,,,
LRRC8D,55144,0.0299318,0.195754,0.152905,,,,,,,
SLC35G2,80723,0.0299315,0.152975,0.195662,,,,,,,
RFXAP,5994,0.0299118,0.288086,0.103829,,,,,,,
PTPN4,5775,0.029905,0.376575,0.0794132,,,,,,,
KDSR,2531,0.0298867,0.141968,0.210518,,,,,,,
AGFG2,3268,0.0298827,0.134917,0.22149,,,,,,,
LPIN1,23175,0.0298632,0.175784,0.169886,,,,,,,
FAM200A,221786,0.0298483,0.212014,0.140784,,,,,,,
ZFX,7543,0.0298478,0.2189,0.136354,,,,,,,
ASIC1,41,0.0298401,0.140812,0.211914,X,X,,,,,
CHAF1B,8208,0.0298372,0.161676,0.184549,,,,,,,
IL20RB,53833,0.0298136,0.205869,0.144819,,,,,,,
C19orf73,55150,0.0298067,0.311303,0.0957481,,,,,,,
CD109,135228,0.0298012,0.190815,0.156179,,,,,,,
ME3,10873,0.0297994,0.131517,0.226582,,,,,,,
PPP3CB,5532,0.0297874,0.260125,0.114512,X,X,X,X,X,X,X
COL21A1,81578,0.0297746,0.212053,0.140411,,,,,,,
INPP4B,8821,0.0297715,0.127727,0.233086,,,,,,,
ZNF266,10781,0.0297677,0.207023,0.14379,,,,,,,
DDR1,780,0.0297661,0.138343,0.215161,,,,,,,
MAPKAP1,79109,0.0297495,0.306952,0.0969189,,,,,,,
TECPR1,25851,0.0297486,0.168372,0.176684,,,,,,,
TRMT13,54482,0.0297269,0.286299,0.103831,,,,,,,
B3GNT4,79369,0.0297208,0.286016,0.103913,,,,,,,
TSPAN3,10099,0.0296904,0.162722,0.182461,,,,,,,
CAMTA2,23125,0.0296738,0.220147,0.134791,,,,,,,
IER3IP1,51124,0.0296644,0.169906,0.174593,,,,,,,
LINC00176,284739,0.0296508,0.377457,0.078554,,,,,,,
GNAI1,2770,0.029615,0.245738,0.120515,X,X,,,,,
NAV2,89797,0.0296118,0.303448,0.0975845,,,,,,,
ATXN2L,11273,0.0296041,0.259308,0.114166,,,,,,,
RAB15,376267,0.0295946,0.265952,0.111278,,,,,,,
TOLLIP,54472,0.0295819,0.121343,0.243787,X,,,,,,
SSFA2,6744,0.0295808,0.266639,0.11094,,,,,,,
MIR7-3HG,284424,0.0295762,0.285337,0.103653,,,,,,,
FAM110A,83541,0.0295759,0.24029,0.123084,,,,,,,
RUFY3,22902,0.0295699,0.183295,0.161324,,,X,X,X,X,X
ZNF131,7690,0.0295563,0.330881,0.089326,,,,,,,
RABGAP1,23637,0.0295444,0.258837,0.114143,,,,,,,
FAM126B,285172,0.0295376,0.138734,0.212909,,,,,,,
MALT1,10892,0.0295313,0.191337,0.154342,,,,,,,
ZER1,10444,0.0295234,0.109093,0.270625,,,,,,,
C1orf220,400798,0.0295233,0.318674,0.0926441,,,,,,,
ZNF385B,151126,0.0295191,0.22382,0.131888,,,,,,,
AQP4,361,0.0295048,0.209173,0.141055,,,,,,,
FYB,2533,0.0294983,0.205069,0.143846,,,,,,,
UBE3A,7337,0.0294973,0.258298,0.114199,,,,,,,
RSBN1L,222194,0.0294944,0.167281,0.176317,,,,,,,
MAL2,114569,0.0294906,0.252872,0.116623,,,,,,,
NCK1,4690,0.0294858,0.208874,0.141165,,,X,X,X,X,X
GRAMD1A,57655,0.029459,0.269135,0.109458,,,,,,,
PCMT1,5110,0.0294555,0.16572,0.177743,,,,,,,
BEST1,7439,0.0294504,0.132912,0.221578,,,,,,,
MAP2K6,5608,0.0294172,0.200001,0.147085,,,,,,,
FAM127A,8933,0.0294167,0.291423,0.100941,,,,,,,
NAP1L1,4673,0.029404,0.179408,0.163894,,,,,,,
MTMR14,64419,0.0293998,0.204794,0.143558,,,,,,,
RAB11FIP2,22841,0.0293795,0.200415,0.146594,X,,,,,,
PIP5K1C,23396,0.0293759,0.229836,0.127812,X,X,X,X,X,X,X
KLHDC3,116138,0.0293726,0.139908,0.209942,,,,,,,
GLRA2,2742,0.029365,0.192057,0.152897,,,,,,,
BBS4,585,0.0293617,0.19887,0.147643,,,X,X,X,,X
C14orf2,9556,0.0293566,0.264367,0.111045,,,,,,,
IFI44,10561,0.0293535,0.269301,0.108999,,,,,,,
ITIH5,80760,0.0293535,0.219756,0.133573,,,,,,,
ZNF776,284309,0.0293465,0.135825,0.216062,,,,,,,
ZNF335,63925,0.0293398,0.228481,0.128413,,,X,X,X,,X
PTX3,5806,0.029336,0.295206,0.0993746,,,,,,,
AARS2,57505,0.0293346,0.178502,0.164338,,,,,,,
COX20,116228,0.0293318,0.20993,0.139722,,,,,,,
MED23,9439,0.029328,0.16059,0.182627,,,,,,,
C5orf45,51149,0.0293274,0.252202,0.116285,,,,,,,
IL11RA,3590,0.0293211,0.199534,0.146948,,,,,,,
WFDC1,58189,0.0293164,0.155153,0.188951,,,,,,,
PLBD1,79887,0.0293041,0.163662,0.179052,,,,,,,
SLC25A43,203427,0.0292978,0.232529,0.125997,,,,,,,
ARHGDIG,398,0.0292777,0.217464,0.134632,,,,,,,
B3GALT1,8708,0.0292563,0.113542,0.257669,,,,,,,
CMTM6,54918,0.0292404,0.24428,0.1197,,,,,,,
TLR5,7100,0.0292034,0.259751,0.112428,,,,,,,
RAB2B,84932,0.0291975,0.227843,0.128147,,,,,,,
LCP1,3936,0.029197,0.110015,0.265392,,,,,,,
C6orf47,57827,0.0291961,0.187915,0.155368,,,,,,,
OPLAH,26873,0.0291705,0.303142,0.0962272,,,,,,,
TTBK2,146057,0.0291629,0.180718,0.161372,,,,,,,
FOXJ1,2302,0.0291514,0.131266,0.22208,,,,,,,
UQCRB,7381,0.0291509,0.197861,0.14733,,,,,,,
CLSPN,63967,0.0291367,0.337778,0.08626,,,,,,,
FADS6,283985,0.0291207,0.278209,0.104672,,,,,,,
ITGB1,3688,0.0291149,0.207679,0.140192,,,X,X,X,X,X
SREBF1,6720,0.029114,0.171496,0.169765,X,,,,,,
CRTC2,200186,0.0291105,0.230697,0.126185,,,,,,,
GPAM,57678,0.0290955,0.179588,0.162013,,,,,,,
XPO5,57510,0.02909,0.15843,0.183614,,,,,,,
PDZRN3,23024,0.0290683,0.454084,0.0640151,,,,,,,
KPNA5,3841,0.0290569,0.20775,0.139865,,,,,,,
RYBP,23429,0.0290536,0.242009,0.120052,,,,,,,
AKIRIN1,79647,0.0290279,0.29926,0.0969991,,,,,,,
ST6GALNAC6,30815,0.0290235,0.239738,0.121063,,,,,,,
