"MGI.symbol" "WikiGene.NaNme" "EntrezGene.ID" "HGNC.symbol" "EntrezGene.ID.1"
"398" "N28178" "N28178" 230085 "KIAA1045" 23349
"399" "Unc13a" "Unc13a" 382018 "UNC13A" 23025
"400" "Snca" "Snca" 20617 "SNCA" 6622
"401" "Zfp804a" "Zfp804a" 241514 "ZNF804A" 91752
"402" "Slc4a10" "Slc4a10" 94229 "SLC4A10" 57282
"403" "Ache" "Ache" 11423 "ACHE" 43
"404" "Gabra1" "Gabra1" 14394 "GABRA1" 2554
"405" "Cplx1" "Cplx1" 12889 "CPLX1" 10815
"406" "Rab3c" "Rab3c" 67295 "RAB3C" 115827
"407" "Gabpb2" "Gabpb2" 213054 "GABPB2" 126626
"408" "Dlx1" "Dlx1" 13390 "DLX1" 1745
"409" "Actl6b" "Actl6b" 83766 "ACTL6B" 51412
"410" "Gjd2" "Gjd2" 14617 "GJD2" 57369
"411" "Nrip3" "Nrip3" 78593 "NRIP3" 56675
"412" "Kcns2" "Kcns2" 16539 "KCNS2" 3788
"413" "Add2" "Add2" 11519 "ADD2" 119
"414" "C77370" "C77370" 245555 "KIAA2022" 340533
"415" "Cxcl12" "Cxcl12" 20315 "CXCL12" 6387
"416" "Rasgef1a" "Rasgef1a" 70727 "RASGEF1A" 221002
"417" "Penk" "Penk" 18619 "PENK" 5179
"418" "Crh" "Crh" 12918 "CRH" 1392
"419" "Hpcal4" "Hpcal4" 170638 "HPCAL4" 51440
"420" "Kcnc2" "Kcnc2" 268345 "KCNC2" 3747
"421" "Caly" "Caly" 68566 "CALY" 50632
"422" "Slc6a17" "Slc6a17" 229706 "SLC6A17" 388662
"423" "Rasgrf1" "Rasgrf1" 19417 "RASGRF1" 5923
"424" "Nrg3" "Nrg3" 18183 "NRG3" 10718
"425" "Runx1t1" "Runx1t1" 12395 "RUNX1T1" 862
"426" "Snap25" "Snap25" 20614 "SNaNP25" 6616
"427" "Trhde" "Trhde" 237553 "TRHDE" 29953
"428" "Efna3" "Efna3" 13638 "EFNaN3" 1944
"429" "Calb2" "Calb2" 12308 "CALB2" 794
"430" "Adcy7" "Adcy7" 11513 "ADCY7" 113
"431" "Ica1l" "Ica1l" 70375 "ICA1L" 130026
"432" "Gpr22" "Gpr22" 73010 "GPR22" 2845
"433" "Fhod3" "Fhod3" 225288 "FHOD3" 80206
"434" "Clstn3" "Clstn3" 232370 "CLSTN3" 9746
"435" "Eno2" "Eno2" 13807 "ENO2" 2026
"436" "Camkv" "Camkv" 235604 "CAMKV" 79012
"437" "A830018L16Rik" "A830018L16Rik" 320492 "C8orf34" 116328
"438" "Calca" "Calca" 12310 "CALCA" 796
"439" "NaNp1l2" "NaNp1l2" 17954 "NaNP1L2" 4674
"440" "Pfkp" "Pfkp" 56421 "PFKP" 5214
"441" "Trhr" "Trhr" 22045 "TRHR" 7201
"442" "Asph" "Asph" 65973 "ASPH" 444
"443" "Slc7a8" "Slc7a8" 50934 "SLC7A8" 23428
"444" "Sult4a1" "Sult4a1" 29859 "SULT4A1" 25830
"445" "Nptx1" "Nptx1" 18164 "NPTX1" 4884
"446" "Fabp3" "Fabp3" 14077 "FABP3" 2170
"447" "Cyp4x1" "Cyp4x1" 81906 "CYP4X1" 260293
"448" "Ryr2" "Ryr2" 20191 "RYR2" 6262
"449" "Neurod6" "Neurod6" 11922 "NEUROD6" 63974
"450" "Kalrn" "Kalrn" 545156 "KALRN" 8997
"451" "Lgi2" "Lgi2" 246316 "LGI2" 55203
"452" "Mpped1" "Mpped1" 223726 "MPPED1" 758
"453" "Vstm2a" "Vstm2a" 211739 "VSTM2A" 222008
"454" "Ccl27a" "Ccl27a" 20301 "CCL27" 10850
"455" "Gad1" "Gad1" 14415 "GAD1" 2571
"456" "Sertad4" "Sertad4" 214791 "SERTAD4" 56256
"457" "Aak1" "Aak1" 269774 "AAK1" 22848
"458" "Egr3" "Egr3" 13655 "EGR3" 1960
"459" "Htr2c" "Htr2c" 15560 "HTR2C" 3358
"460" "Pak6" "Pak6" 214230 "PAK6" 56924
"461" "Caln1" "Caln1" 140904 "CALN1" 83698
"462" "Cers6" "Cers6" 241447 "CERS6" 253782
"463" "Nov" "Nov" 18133 "NOV" 4856
"464" "Hs3st5" "Hs3st5" 319415 "HS3ST5" 222537
"465" "Necab1" "Necab1" 69352 "NECAB1" 64168
"466" "Bcl11a" "Bcl11a" 14025 "BCL11A" 53335
"467" "Hs6st2" "Hs6st2" 50786 "HS6ST2" 90161
"468" "D130043K22Rik" "D130043K22Rik" 210108 "KIAA0319" 9856
"469" "Epb4.9" "Epb4.9" 13829 "DMTN" 2039
"470" "Cdhr1" "Cdhr1" 170677 "CDHR1" 92211
"471" "Rbfox3" "Rbfox3" 52897 "RBFOX3" 146713
"472" "Arpp21" "Arpp21" 74100 "ARPP21" 10777
"473" "Serpini1" "Serpini1" 20713 "SERPINI1" 5274
"474" "Trank1" "Trank1" 320429 "TRANK1" 9881
"475" "Vip" "Vip" 22353 "VIP" 7432
"476" "Cbln1" "Cbln1" 12404 "CBLN1" 869
"477" "Fxyd7" "Fxyd7" 57780 "FXYD7" 53822
"478" "Pcsk2" "Pcsk2" 18549 "PCSK2" 5126
"479" "Tbr1" "Tbr1" 21375 "TBR1" 10716
"480" "Rasl10a" "Rasl10a" 75668 "RASL10A" 10633
"481" "Rbfox1" "Rbfox1" 268859 "RBFOX1" 54715
"482" "Bcl11b" "Bcl11b" 58208 "BCL11B" 64919
"483" "Neurod1" "Neurod1" 18012 "NEUROD1" 4760
"484" "Calb1" "Calb1" 12307 "CALB1" 793
"485" "Gng2" "Gng2" 14702 "GNG2" 54331
"486" "Pnma2" "Pnma2" 239157 "PNMA2" 10687
"487" "Sst" "Sst" 20604 "SST" 6750
"488" "Rspo2" "Rspo2" 239405 "RSPO2" 340419
"489" "Cx3cl1" "Cx3cl1" 20312 "CX3CL1" 6376
"490" "Bhlhe22" "Bhlhe22" 59058 "BHLHE22" 27319
"491" "Hpca" "Hpca" 15444 "HPCA" 3208
"492" "Celf5" "Celf5" 319586 "CELF5" 60680
"493" "Sla" "Sla" 20491 "SLA" 6503
"494" "Hs3st2" "Hs3st2" 195646 "HS3ST2" 9956
"495" "Itpka" "Itpka" 228550 "ITPKA" 3706
"496" "Hecw1" "Hecw1" 94253 "HECW1" 23072
"497" "9930013L23Rik" "9930013L23Rik" 80982 "KIAA1199" 57214
"498" "Fndc9" "Fndc9" 320116 "FNDC9" 408263
"499" "Pacsin1" "Pacsin1" 23969 "PACSIN1" 29993
"500" "Scn3b" "Scn3b" 235281 "SCN3B" 55800
"501" "Slco5a1" "Slco5a1" 240726 "SLCO5A1" 81796
"502" "Enc1" "Enc1" 13803 "ENC1" 8507
"503" "Celf6" "Celf6" 76183 "CELF6" 60677
"504" "Slc6a7" "Slc6a7" 240332 "SLC6A7" 6534
"505" "Cntnap4" "Cntnap4" 170571 "CNTNaNP4" 85445
"506" "Tenm2" "Tenm2" 23964 "TENM2" 57451
"507" "Nxph2" "Nxph2" 18232 "NXPH2" 11249
"508" "Gap43" "Gap43" 14432 "GAP43" 2596
"509" "Prmt8" "Prmt8" 381813 "PRMT8" 56341
"510" "Scn3a" "Scn3a" 20269 "SCN3A" 6328
"511" "Fkbp1b" "Fkbp1b" 14226 "FKBP1B" 2281
"512" "3110047P20Rik" "3110047P20Rik" 319807 "KIAA1239" 57495
"513" "Elavl4" "Elavl4" 15572 "ELAVL4" 1996
"514" "Dgkg" "Dgkg" 110197 "DGKG" 1608
"515" "Scn1a" "Scn1a" 20265 "SCN1A" 6323
"516" "Nrgn" "Nrgn" 64011 "NRGN" 4900
"517" "AI593442" "AI593442" 330941 "C11orf87" 399947
"518" "Satb2" "Satb2" 212712 "SATB2" 23314
"519" "Stmn2" "Stmn2" 20257 "STMN2" 11075
"520" "Prkar1b" "Prkar1b" 19085 "PRKAR1B" 5575
"521" "Kcnv1" "Kcnv1" 67498 "KCNV1" 27012
"522" "Scg2" "Scg2" 20254 "SCG2" 7857
"523" "Kcnf1" "Kcnf1" 382571 "KCNF1" 3754
"524" "Kcnip4" "Kcnip4" 80334 "KCNIP4" 80333
"525" "AW551984" "AW551984" 244810 "VWA5A" 4013
"526" "Atp1a3" "Atp1a3" 232975 "ATP1A3" 478
"527" "Cacna1b" "Cacna1b" 12287 "CACNaN1B" 774
"528" "Syt16" "Syt16" 238266 "SYT16" 83851
"529" "Cbln4" "Cbln4" 228942 "CBLN4" 140689
"530" "Prkcg" "Prkcg" 18752 "PRKCG" 5582
"531" "Tmod3" "Tmod3" 50875 "TMOD3" 29766
"532" "Gabrg2" "Gabrg2" 14406 "GABRG2" 2566
"533" "Syt1" "Syt1" 20979 "SYT1" 6857
"534" "Slc12a5" "Slc12a5" 57138 "SLC12A5" 57468
"535" "Cck" "Cck" 12424 "CCK" 885
"536" "Atp2b3" "Atp2b3" 320707 "ATP2B3" 492
"537" "Mef2c" "Mef2c" 17260 "MEF2C" 4208
"538" "Scn2a1" "Scn2a1" 110876 "SCN2A" 6326
"539" "Unc5d" "Unc5d" 210801 "UNC5D" 137970
"540" "Ly6h" "Ly6h" 23934 "LY6H" 4062
"541" "Matk" "Matk" 17179 "MATK" 4145
"542" "Camk2b" "Camk2b" 12323 "CAMK2B" 816
"543" "Myt1l" "Myt1l" 17933 "MYT1L" 23040
"544" "Vgf" "Vgf" 381677 "VGF" 7425
"545" "Crmp1" "Crmp1" 12933 "CRMP1" 1400
"546" "Cpne4" "Cpne4" 74020 "CPNE4" 131034
